Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
m,,21,6,1,0,0,0,0,0,0,0
a,,5,7,11,4,0,1,0,0,0,0
a,,2,11,9,4,1,0,0,0,0,1
g,,,4,5,7,7,1,2,0,2,0
j,,,,2,8,10,4,1,1,1,1
t,,,,,5,5,8,1,5,4,0
j,,,,,,2,3,3,8,1,4
m,,,,,,1,4,5,3,0,4
m,,,,,,0,2,5,1,2,2
b,,,,,,1,0,3,2,3,2
d,,,,,,1,1,0,1,4,2
n,,,,,,,2,1,1,2,3
b,,,,,,,1,2,1,2,2
e,,,,,,,0,0,2,3,2
t,,,,,,,1,1,1,0,0
e,,,,,,,,2,1,0,1
i,,,,,,,,0,1,3,1
b,,,,,,,,2,,0,0
d,,,,,,,,,,1,1
p,,,,,,,,,,,1
m,,,,,,,,,,,1
