"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","b",0,24,4,0,0,0,0,0,0,0,0,372,276,240,348,324,300,356,360,414,414,268
"2","l",0,4,20,3,1,0,0,0,0,0,0,267,251,40,263,259,255,306,323,296.5,302,198
"3","d",0,0,3,5,8,7,3,0,1,0,0,183,183,0,183,183,183,194,192,151.6,168.5,77
"4","f",0,0,1,12,4,3,3,1,1,2,0,177,177,0,177,177,177,191,180,146,164.5,82
"5","r",0,0,0,8,9,3,5,0,0,3,0,176,176,0,176,176,176,184,176,137.5,156,70
"6","m",0,0,0,0,2,7,3,5,2,3,0,103,103,0,103,103,103,103,103,86.6,81,13
"7","d",0,0,0,0,0,4,5,3,5,1,1,79,79,0,79,79,79,79,79,71.2,60.5,4
"8","m",0,0,0,0,2,0,2,6,4,3,0,66,66,0,66,66,66,66,66,61.8,49,6
"9","m",0,0,0,0,0,3,0,3,3,3,4,49,49,0,49,49,49,49,49,45.7,35,3
"10","a",0,0,0,0,1,0,1,3,4,3,3,45,45,0,45,45,45,45,45,43.9,31.5,3
"11","g",0,0,0,0,0,0,3,1,2,0,3,28,28,0,28,28,28,28,28,26.5,20.5,0
"12","r",0,0,0,0,0,1,2,0,0,3,1,23,23,0,23,23,23,23,23,19.9,16.5,1
"13","g",0,0,0,0,1,0,0,0,2,0,4,17,17,0,17,17,17,17,17,16,12,3
"14","b",0,0,0,0,0,0,0,2,1,0,3,14,14,0,14,14,14,14,14,14.3,9.5,0
"15","r",0,0,0,0,0,0,0,1,0,2,3,11,11,0,11,11,11,11,11,10.9,6.5,0
"16","j",0,0,0,0,0,0,0,1,1,0,2,9,9,0,9,9,9,9,9,9.4,6,0
"17","j",0,0,0,0,0,0,1,0,0,2,0,9,9,0,9,9,9,9,9,8.2,6,0
"18","m",0,0,0,0,0,0,0,1,1,0,1,8,8,0,8,8,8,8,8,8.4,5.5,0
"19","j",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"20","j",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"21","t",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"22","r",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"23","j",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"24","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"25","t",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"26","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
