"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","j",0,14,11,2,0,1,0,0,0,0,0,317,261,140,303,289,275,327,336,350,353.5,228
"2","f",0,10,7,7,2,2,0,0,0,0,0,285,245,100,275,265,255,296,296,293,306.5,192
"3","a",0,4,4,6,7,3,1,1,0,1,0,218,202,40,214,210,206,228,226,201.6,217,122
"4","c",0,0,4,10,9,2,3,0,0,0,0,206,206,0,206,206,206,224,218,173.6,198,107
"5","p",0,0,1,1,6,1,5,1,2,0,3,103,103,0,103,103,103,106,106,86.4,88,31
"6","m",0,0,0,1,0,7,3,4,2,4,2,97,97,0,97,97,97,98,97,83.2,76,12
"7","e",0,0,0,0,0,5,5,3,7,4,1,97,97,0,97,97,97,97,97,88.7,72.5,5
"8","d",0,0,1,1,1,4,4,3,2,3,2,94,94,0,94,94,94,97,97,83.5,77.5,19
"9","n",0,0,0,0,2,0,4,3,3,4,3,66,66,0,66,66,66,66,66,60,48.5,6
"10","d",0,0,0,0,0,0,1,5,4,2,3,44,44,0,44,44,44,44,44,44.7,30.5,0
"11","m",0,0,0,0,0,1,0,1,2,5,7,33,33,0,33,33,33,33,33,32.4,20.5,1
"12","m",0,0,0,0,0,0,2,1,3,2,1,28,28,0,28,28,28,28,28,27.8,19.5,0
"13","d",0,0,0,0,1,1,0,1,2,0,0,23,23,0,23,23,23,23,23,20.4,18,4
"14","b",0,0,0,0,0,1,0,3,1,1,0,23,23,0,23,23,23,23,23,21.7,17,1
"15","t",0,0,0,0,0,0,0,1,0,1,2,8,8,0,8,8,8,8,8,7.9,5,0
"16","m",0,0,0,0,0,0,0,1,0,0,1,5,5,0,5,5,5,5,5,4.9,3.5,0
"17","t",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"18","d",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"19","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
