"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","b",0,32,0,0,0,0,0,0,0,0,0,448,320,320,416,384,352,416,416,496,496,320
"2","a",0,0,26,4,0,1,0,1,0,0,0,276,276,0,276,276,276,332,354,307.4,313,203
"3","l",0,0,1,7,5,6,5,2,3,1,1,181,181,0,181,181,181,190,184,150.3,160,63
"4","v",0,0,4,5,3,3,5,2,3,5,1,168,168,0,168,168,168,181,180,153.3,152.5,65
"5","s",0,0,0,3,8,4,3,2,3,3,4,146,146,0,146,146,146,149,146,118.4,121,43
"6","j",0,0,0,3,2,4,8,5,2,3,1,135,135,0,135,135,135,138,135,114.6,110.5,25
"7","r",0,0,0,5,3,4,4,2,4,1,0,127,127,0,127,127,127,132,127,106.1,109,38
"8","j",0,0,1,3,5,2,1,6,2,3,3,124,124,0,124,124,124,129,127,107.6,105,39
"9","s",0,0,0,0,2,3,1,1,4,4,2,63,63,0,63,63,63,63,63,55.6,47,9
"10","c",0,0,0,0,1,2,3,2,1,3,2,53,53,0,53,53,53,53,53,45.9,40,5
"11","c",0,0,0,2,2,0,0,4,0,1,2,50,50,0,50,50,50,52,50,42.6,42,16
"12","e",0,0,0,0,1,2,1,1,4,1,2,44,44,0,44,44,44,44,44,40.1,33,5
"13","b",0,0,0,0,0,0,0,2,4,2,3,27,27,0,27,27,27,27,27,28.8,17.5,0
"14","j",0,0,0,0,0,0,0,2,0,0,0,8,8,0,8,8,8,8,8,7.8,6,0
"15","p",0,0,0,0,0,0,0,0,1,2,1,8,8,0,8,8,8,8,8,8.5,4.5,0
"16","a",0,0,0,0,0,0,1,0,0,1,0,7,7,0,7,7,7,7,7,6.2,5,0
"17","g",0,0,0,0,0,1,0,0,0,0,0,6,6,0,6,6,6,6,6,4.5,5,1
"18","j",0,0,0,0,0,0,0,0,1,1,1,6,6,0,6,6,6,6,6,6.5,3.5,0
"19","t",0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,1.5,0
"20","b",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"21","e",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"22","l",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"23","r",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"24","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
