"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","k",0,28,0,0,0,0,0,0,0,0,0,392,280,280,364,336,308,364,364,434,434,280
"2","m",0,0,18,7,2,0,1,0,0,0,0,237,237,0,237,237,237,280,291,248.7,261,167
"3","e",0,0,5,4,9,3,4,1,1,0,1,186,186,0,186,186,186,200,201,162.2,175,85
"4","c",0,0,2,7,5,4,2,2,2,0,1,158,158,0,158,158,158,169,164,133.7,145.5,68
"5","b",0,0,0,4,5,3,4,4,2,2,1,132,132,0,132,132,132,136,132,108.9,111.5,38
"6","a",0,0,1,2,2,4,2,4,5,4,0,112,112,0,112,112,112,116,115,101,92.5,27
"7","g",0,0,1,2,3,2,4,3,3,5,3,112,112,0,112,112,112,116,115,99.5,92,28
"8","b",0,0,1,1,1,4,1,1,3,1,1,69,69,0,69,69,69,72,72,61.6,59,19
"9","j",0,0,0,0,0,2,3,4,1,4,5,59,59,0,59,59,59,59,59,53.7,42.5,2
"10","s",0,0,0,0,0,2,2,1,2,2,2,38,38,0,38,38,38,38,38,34.3,28,2
"11","j",0,0,0,1,1,1,1,1,1,0,0,33,33,0,33,33,33,34,33,27.6,28,9
"12","b",0,0,0,0,0,0,2,1,3,2,2,29,29,0,29,29,29,29,29,28.8,20,0
"13","m",0,0,0,0,0,1,1,1,2,1,0,23,23,0,23,23,23,23,23,21.6,17,1
"14","b",0,0,0,0,0,0,0,2,1,0,2,13,13,0,13,13,13,13,13,13.3,9,0
"15","s",0,0,0,0,0,0,1,1,0,1,1,12,12,0,12,12,12,12,12,11.1,8.5,0
"16","e",0,0,0,0,0,1,0,1,0,0,0,10,10,0,10,10,10,10,10,8.4,8,1
"17","h",0,0,0,0,0,1,0,0,1,0,0,9,9,0,9,9,9,9,9,8,7,1
"18","t",0,0,0,0,0,0,0,0,0,2,3,7,7,0,7,7,7,7,7,7,3.5,0
"19","l",0,0,0,0,0,0,0,1,0,0,3,7,7,0,7,7,7,7,7,6.9,4.5,0
"20","d",0,0,0,0,0,0,0,0,0,2,2,6,6,0,6,6,6,6,6,6,3,0
"21","t",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"22","k",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"23","t",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"24","m",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
