"","ï..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Albert Pujols, Cardinals",0,32,0,0,0,0,0,0,0,0,0,448,448,320,320,416,384,352,416,416,496,496,320
"2","Hanley Ramirez, Marlins",0,0,15,5,3,3,0,2,3,1,0,233,233,233,0,233,233,233,268,278,238.8,243.5,142
"3","Ryan Howard, Phillies",0,0,6,8,7,5,1,3,1,0,0,217,217,217,0,217,217,217,237,235,191.9,209,108
"4","Prince Fielder, Brewers",0,0,5,9,7,3,1,0,3,1,3,203,203,203,0,203,203,203,222,218,179.2,194,104
"5","Troy Tulowitzki, Rockies",0,0,3,6,5,5,5,1,1,0,0,172,172,172,0,172,172,172,184,181,146.4,159.5,71
"6","Andre Ethier, Dodgers",0,0,2,0,3,2,5,4,5,3,0,113,113,113,0,113,113,113,117,119,105.1,94,25
"7","Pablo Sandoval, Giants",0,0,0,1,0,2,5,5,6,1,4,89,89,89,0,89,89,89,90,89,83,68,7
"8","Chase Utley, Phillies",0,0,0,2,2,1,5,4,0,3,1,84,84,84,0,84,84,84,86,84,71.1,68.5,17
"9","Derrek Lee, Cubs",0,0,1,0,0,3,3,2,2,5,0,66,66,66,0,66,66,66,68,69,61.4,52.5,10
"10","Matt Kemp, Dodgers",0,0,0,0,2,1,2,3,1,1,2,49,49,49,0,49,49,49,49,49,42.1,38,7
"11","Ryan Braun, Brewers",0,0,0,0,0,3,1,0,2,4,6,43,43,43,0,43,43,43,43,43,38.7,30,3
"12","Adrian Gonzalez, Padres",0,0,0,0,1,0,1,0,3,2,5,30,30,30,0,30,30,30,30,30,28.7,20.5,3
"13","Todd Helton, Rockies",0,0,0,1,1,0,1,1,0,2,0,28,28,28,0,28,28,28,29,28,23.6,23,8
"14","Chris Carpenter, Cardinals",0,0,0,0,0,1,2,1,0,2,1,25,25,25,0,25,25,25,25,25,21.8,18.5,1
"15","Adam Wainwright, Cards",0,0,0,0,0,1,0,0,2,1,2,16,16,16,0,16,16,16,16,16,15.5,11,1
"16","Matt Holliday,Cardinals",0,0,0,0,1,0,0,1,0,2,0,15,15,15,0,15,15,15,15,15,12.9,11,3
"17","Jayson Werth, Phillies",0,0,0,0,0,1,0,1,0,0,0,10,10,10,0,10,10,10,10,10,8.4,8,1
"18","Shane Victorino, Phillies",0,0,0,0,0,0,0,2,0,0,0,8,8,8,0,8,8,8,8,8,7.8,6,0
"19","Tim Lincecum, Giants",0,0,0,0,0,0,0,1,0,1,2,8,8,8,0,8,8,8,8,8,7.9,5,0
"20","Yunel Escobar, Braves",0,0,0,0,0,1,0,0,0,0,0,6,6,6,0,6,6,6,6,6,4.5,5,1
"21","Mark Reynolds, D-backs",0,0,0,0,0,0,0,0,1,1,1,6,6,6,0,6,6,6,6,6,6.5,3.5,0
"22","Joey Votto, Reds",0,0,0,0,0,0,0,1,0,0,0,4,4,4,0,4,4,4,4,4,3.9,3,0
"23","Yadier Molina, Cardinals",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"24","Miguel Tejada, Astros",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"25","Huston Street, Rockies",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"26","Justin Upton, D-backs",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"27","Ryan Zimmerman, Nationals",0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
"28","Jeremy Affeldt, Giants",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"29","Chris Coghlan, Marlins",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"30","Brad Hawpe, Rockies",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
