Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
c,,15,8,4,0,0,0,1,0,0,0
c,,9,12,6,0,0,0,1,0,0,0
f,,1,4,5,5,4,4,1,2,0,2
j,,,,3,8,5,3,3,1,2,1
j,,1,2,2,2,2,4,6,3,4,1
r,,2,2,3,1,6,1,1,0,3,0
k,,,,2,3,2,2,2,3,1,0
r,,,,,3,1,2,3,3,2,1
k,,,,1,1,1,2,1,5,3,6
r,,,,1,2,1,4,1,1,1,0
p,,,,,2,2,1,2,1,3,3
d,,,,,,2,0,1,2,3,4
j,,,,,,0,3,3,0,0,2
c,,,,,1,0,0,0,4,1,0
j,,,,,,1,0,1,1,1,2
d,,,,,,0,1,0,1,2,3
s,,,,1,,0,0,1,,0,0
r,,,,,,1,1,,,0,0
r,,,,,,,,,1,1,1
r,,,,,,,,,,1,1
d,,,,,,,,,,0,1
