"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","j",0,28,0,0,0,0,0,0,0,0,0,392,280,280,364,336,308,364,364,434,434,280
"2","m",0,0,11,5,2,4,2,2,2,0,0,201,201,0,201,201,201,228,234,199.2,205.5,112
"3","m",0,0,9,4,4,4,1,0,4,0,1,183,183,0,183,183,183,205,210,177.7,183,99
"4","b",0,0,1,6,5,3,3,2,3,0,2,144,144,0,144,144,144,152,147,120.9,128.5,55
"5","g",0,0,5,2,4,0,6,2,1,1,1,133,133,0,133,133,133,145,148,125,126,57
"6","m",0,0,1,2,4,6,2,4,1,1,1,121,121,0,121,121,121,125,124,101,104,35
"7","t",0,0,1,3,4,2,2,3,2,4,3,112,112,0,112,112,112,117,115,97.1,95,36
"8","f",0,0,0,3,1,2,4,2,4,5,3,96,96,0,96,96,96,99,96,85.1,76.5,20
"9","k",0,0,0,2,3,1,3,3,4,2,0,86,86,0,86,86,86,88,86,74.8,70,20
"10","a",0,0,0,0,0,2,2,2,2,3,0,42,42,0,42,42,42,42,42,38.2,31,2
"11","l",0,0,0,0,1,0,0,3,0,1,2,23,23,0,23,23,23,23,23,20.7,17,3
"12","k",0,0,0,0,0,1,1,1,1,1,2,22,22,0,22,22,22,22,22,20.1,16,1
"13","m",0,0,0,0,0,1,1,2,0,1,1,22,22,0,22,22,22,22,22,19.5,16.5,1
"14","d",0,0,0,0,0,1,1,0,0,2,4,19,19,0,19,19,19,19,19,16.7,13,1
"15","h",0,0,0,0,0,1,0,0,2,2,2,18,18,0,18,18,18,18,18,17.5,12,1
"16","c",0,0,0,1,0,0,0,0,1,2,2,17,17,0,17,17,17,18,17,16,13,5
"17","g",0,0,0,0,0,0,0,0,0,2,1,5,5,0,5,5,5,5,5,5,2.5,0
"18","j",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"19","t",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"20","j",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"21","b",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"22","a",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"23","b",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"24","b",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
