"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","j",0,7,6,7,0,5,2,1,0,0,0,252,224,70,245,238,231,264,263,251.8,263.5,152
"2","p",0,8,6,4,1,2,2,3,0,0,0,239,207,80,231,223,215,247,249,247.1,252,147
"3","r",0,4,7,6,4,4,0,1,1,0,0,226,210,40,222,218,214,242,243,219.9,232.5,135
"4","m",0,4,4,5,9,1,5,0,0,0,0,226,210,40,222,218,214,235,234,207,223,121
"5","r",0,4,1,2,4,8,4,3,1,0,1,193,177,40,189,185,181,193,192,174.5,180,77
"6","d",0,1,2,2,9,3,7,2,1,1,0,177,173,10,176,175,174,182,182,150.7,158.5,64
"7","f",0,0,2,2,0,5,5,10,2,1,0,137,137,0,137,137,137,143,143,125.5,117,29
"8","j",0,0,0,0,1,0,1,2,6,3,5,49,49,0,49,49,49,49,49,49,33.5,3
"9","s",0,0,0,0,0,0,1,0,4,10,7,44,44,0,44,44,44,44,44,45.2,25.5,0
"10","k",0,0,0,0,0,0,0,2,6,6,4,42,42,0,42,42,42,42,42,44.8,26,0
"11","b",0,0,0,0,0,0,1,1,2,2,2,21,21,0,21,21,21,21,21,21.1,14,0
"12","c",0,0,0,0,0,0,0,2,1,1,3,16,16,0,16,16,16,16,16,16.3,10.5,0
"13","j",0,0,0,0,0,0,0,1,1,1,1,10,10,0,10,10,10,10,10,10.4,6.5,0
"14","m",0,0,0,0,0,0,0,0,2,1,1,9,9,0,9,9,9,9,9,10,5.5,0
"15","a",0,0,0,0,0,0,0,0,0,1,2,4,4,0,4,4,4,4,4,4,2,0
"16","o",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"17","m",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"18","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"19","b",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
