Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
s,,30,2,0,0,0,0,0,0,0,0
m,,2,20,3,1,4,1,1,0,0,0
m,,,6,8,9,3,1,1,1,1,2
g,,,0,7,8,6,4,2,2,1,1
c,,,3,5,7,2,2,5,0,2,1
a,,,0,1,1,6,9,10,3,1,0
t,,,0,5,5,3,4,0,0,2,0
b,,,1,0,,1,2,3,5,6,2
c,,,,2,,1,2,2,4,1,2
j,,,,1,,2,2,2,4,2,2
v,,,,,,2,2,0,5,3,6
j,,,,,,1,1,2,2,5,3
v,,,,,,0,0,2,2,2,7
m,,,,,,0,1,0,2,2,0
t,,,,,,1,1,0,0,0,0
k,,,,,,,,1,1,0,1
l,,,,,1,,,0,0,0,0
r,,,,,,,,0,1,1,0
j,,,,,,,,1,,0,0
s,,,,,,,,,,1,1
t,,,,,,,,,,1,0
r,,,,,,,,,,1,0
d,,,,,,,,,,,2
j,,,,,,,,,,,1
m,,,,,,,,,,,1
