"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","l",0,22,3,3,0,0,0,0,0,0,0,359,271,220,337,315,293,346,346,392,396.5,256
"2","m",0,3,22,2,1,0,0,0,0,0,0,263,251,30,260,257,254,306,326,295.5,299.5,197
"3","j",0,3,2,15,5,3,0,0,0,0,0,233,221,30,230,227,224,249,236,203.5,232.5,137
"4","c",0,0,1,3,7,6,4,1,4,2,2,160,160,0,160,160,160,165,163,132.7,136.5,49
"5","b",0,0,0,1,5,5,4,6,0,2,2,123,123,0,123,123,123,124,123,100.2,100,25
"6","t",0,0,0,3,3,3,4,3,1,6,3,113,113,0,113,113,113,116,113,95,91.5,27
"7","a",0,0,0,0,4,1,5,2,5,1,1,85,85,0,85,85,85,85,85,73.8,66.5,13
"8","j",0,0,0,1,0,5,1,7,2,1,1,80,80,0,80,80,80,81,80,70.5,63.5,10
"9","c",0,0,0,0,0,2,4,3,4,5,4,70,70,0,70,70,70,70,70,65.5,50,2
"10","m",0,0,0,0,2,2,4,0,4,0,2,60,60,0,60,60,60,60,60,51.8,47,8
"11","c",0,0,0,0,1,0,0,1,2,1,3,22,22,0,22,22,22,22,22,20.9,15.5,3
"12","g",0,0,0,0,0,1,1,0,1,1,0,16,16,0,16,16,16,16,16,14.2,12,1
"13","e",0,0,0,0,0,0,0,0,0,3,4,10,10,0,10,10,10,10,10,10,5,0
"14","c",0,0,0,0,0,0,1,0,1,0,1,9,9,0,9,9,9,9,9,8.7,6.5,0
"15","r",0,0,0,0,0,0,0,1,0,2,0,8,8,0,8,8,8,8,8,7.9,5,0
"16","p",0,0,0,0,0,0,0,0,1,1,1,6,6,0,6,6,6,6,6,6.5,3.5,0
"17","m",0,0,0,0,0,0,0,1,0,0,2,6,6,0,6,6,6,6,6,5.9,4,0
"18","r",0,0,0,0,0,0,0,1,0,1,0,6,6,0,6,6,6,6,6,5.9,4,0
"19","s",0,0,0,0,0,0,0,1,0,0,1,5,5,0,5,5,5,5,5,4.9,3.5,0
"20","k",0,0,0,0,0,0,0,0,1,1,0,5,5,0,5,5,5,5,5,5.5,3,0
"21","j",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"22","v",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"23","d",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"24","r",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"25","t",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"26","k",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"27","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
