"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","m",0,12,12,4,0,0,0,0,0,0,0,308,260,120,296,284,272,324,332,338,344,224
"2","a",0,11,10,7,0,0,0,0,0,0,0,300,256,110,289,278,267,316,319,321,331.5,215
"3","e",0,4,5,12,5,2,0,0,0,0,0,244,228,40,240,236,232,262,255,226.5,250.5,152
"4","j",0,1,0,1,6,6,4,1,1,1,1,130,126,10,129,128,127,130,129,106.2,112,39
"5","j",0,0,0,1,3,5,8,2,3,2,0,120,120,0,120,120,120,121,120,99.9,97,19
"6","r",0,0,1,2,3,5,5,2,0,1,0,111,111,0,111,111,111,115,114,91.8,96.5,31
"7","t",0,0,0,0,6,3,4,2,6,1,2,110,110,0,110,110,110,110,110,93.1,87,21
"8","f",0,0,0,1,4,1,2,2,5,3,2,83,83,0,83,83,83,84,83,72.7,65,18
"9","j",0,0,0,0,1,2,1,4,2,5,1,57,57,0,57,57,57,57,57,51.8,41.5,5
"10","g",0,0,0,0,0,2,1,4,2,1,4,45,45,0,45,45,45,45,45,41.8,33,2
"11","r",0,0,0,0,0,1,1,2,2,3,3,34,34,0,34,34,34,34,34,32.5,23.5,1
"12","m",0,0,0,0,0,1,0,4,1,2,1,30,30,0,30,30,30,30,30,28.6,21.5,1
"13","t",0,0,0,0,0,0,0,3,0,3,2,20,20,0,20,20,20,20,20,19.7,13,0
"14","j",0,0,0,0,0,0,1,0,2,2,3,18,18,0,18,18,18,18,18,18.2,11.5,0
"15","p",0,0,0,0,0,0,1,1,1,0,2,14,14,0,14,14,14,14,14,13.6,10,0
"16","m",0,0,0,0,0,0,0,1,0,1,1,7,7,0,7,7,7,7,7,6.9,4.5,0
"17","c",0,0,0,0,0,0,0,0,1,0,2,5,5,0,5,5,5,5,5,5.5,3,0
"18","w",0,0,0,0,0,0,0,0,0,2,1,5,5,0,5,5,5,5,5,5,2.5,0
"19","g",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"20","c",0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,1.5,0
"21","k",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
