"","ï..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Josh Donaldson, Blue Jays",0,23,7,0,0,0,0,0,0,0,0,385,385,293,230,362,339,316,376,383,430,430,279
"2","Mike Trout, Angels",0,7,22,1,0,0,0,0,0,0,0,304,304,276,70,297,290,283,342,363,346,347.5,229
"3","Lorenzo Cain, Royals",0,0,0,20,8,0,1,1,0,0,0,225,225,225,0,225,225,225,245,225,178.1,215,124
"4","Manny Machado, Orioles",0,0,0,4,11,5,1,1,1,3,1,158,158,158,0,158,158,158,162,158,122.1,135.5,58
"5","Dallas Keuchel, Astros",0,0,0,0,3,8,5,1,3,0,0,107,107,107,0,107,107,107,107,107,86.4,87,17
"6","Nelson Cruz, Mariners",0,0,1,1,1,4,2,4,2,6,2,94,94,94,0,94,94,94,97,97,85,75.5,19
"7","Adrian Beltre, Rangers",0,0,0,0,4,1,1,7,3,2,3,83,83,83,0,83,83,83,83,83,73.5,63.5,13
"8","Jose Bautista, Blue Jays",0,0,0,2,0,2,4,3,4,5,0,82,82,82,0,82,82,82,84,82,74.5,64,12
"9","David Price, Tigers/Blue Jays",0,0,0,1,1,3,3,1,2,1,2,62,62,62,0,62,62,62,63,62,52.5,50,11
"10","Jose Altuve, Astros",0,0,0,0,0,0,6,1,3,0,1,44,44,44,0,44,44,44,44,44,40.6,33.5,0
"11","Miguel Cabrera, Tigers",0,0,0,1,0,1,1,2,2,3,1,40,40,40,0,40,40,40,41,40,37,30.5,6
"12","Edwin Encarnacion, Blue Jays",0,0,0,0,0,1,3,2,3,0,0,38,38,38,0,38,38,38,38,38,35.4,29,1
"13","Prince Fielder, Rangers",0,0,0,0,0,4,1,0,0,1,2,33,33,33,0,33,33,33,33,33,26.2,26,4
"14","Chris Davis, Orioles",0,0,0,0,0,0,0,5,2,2,2,32,32,32,0,32,32,32,32,32,32.5,22,0
"15","J.D. Martinez, Tigers",0,0,0,0,0,0,1,1,0,3,3,18,18,18,0,18,18,18,18,18,17.1,11.5,0
"16","Jason Kipnis, Indians",0,0,0,0,1,1,0,0,1,0,1,17,17,17,0,17,17,17,17,17,14,13.5,4
"17","Kevin Kiermaier, Rays",0,0,0,0,0,0,1,0,0,2,1,10,10,10,0,10,10,10,10,10,9.2,6.5,0
"18","Kendrys Morales, Royals",0,0,0,0,1,0,0,0,0,0,0,7,7,7,0,7,7,7,7,7,5,6,3
"19","Chris Sale, White Sox",0,0,0,0,0,0,0,1,0,0,0,4,4,4,0,4,4,4,4,4,3.9,3,0
"20","Mookie Betts, Red Sox",0,0,0,0,0,0,0,0,1,0,1,4,4,4,0,4,4,4,4,4,4.5,2.5,0
"21","Jose Abreu, White Sox",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"22","Ian Kinsler, Tigers",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"23","Mike Moustakas, Royals",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"24","Carlos Correa, Astros",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"25","Brian McCann, Yankees",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"26","Eric Hosmer, Royals",0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
"27","Russell Martin, Blue Jays",0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
"28","Michael Brantley, Indians",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"29","Wade Davis, Royals",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"30","Brian Dozier, Twins",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"31","David Ortiz, Red Sox",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"32","Alex Rodriguez, Yankees",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"33","Mark Teixeira, Yankees",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
