Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
b,,18,4,2,0,0,0,0,0,0,0
t,,4,16,4,0,0,0,0,0,0,0
g,,2,3,17,1,1,0,0,0,0,0
a,,,1,,9,9,2,1,1,1,0
l,,,,,5,5,5,2,3,1,2
d,,,,1,2,5,5,1,4,3,1
f,,,,,5,2,5,5,1,2,1
b,,,,,2,0,2,6,1,6,1
m,,,,,,1,3,3,5,2,2
t,,,,,,,0,2,2,1,2
g,,,,,,,1,1,1,0,2
r,,,,,,,0,1,2,0,2
b,,,,,,,0,1,1,2,1
d,,,,,,,0,1,0,1,2
j,,,,,,,1,,1,0,0
m,,,,,,,,,1,1,1
d,,,,,,1,,,0,0,0
r,,,,,,,,,0,1,3
j,,,,,,,,,1,0,1
d,,,,,,,,,,1,1
b,,,,,,,,,,1,0
o,,,,,,,,,,1,0
o,,,,,,,,,,,1
j,,,,,,,,,,,1
