"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","k",0,28,0,0,0,0,0,0,0,0,0,392,280,280,364,336,308,364,364,434,434,280
"2","t",0,0,24,2,4,3,0,0,0,0,0,278,278,0,278,278,278,328,350,298.5,307,193
"3","f",0,0,3,10,2,4,1,3,1,3,1,172,172,0,172,172,172,188,181,150.9,162,81
"4","r",0,0,0,8,3,3,3,1,1,1,1,128,128,0,128,128,128,136,128,103.5,115.5,52
"5","d",0,0,0,2,3,3,4,2,1,1,2,90,90,0,90,90,90,92,90,73.6,75,22
"6","j",0,0,0,1,5,2,3,4,0,1,1,89,89,0,89,89,89,90,89,71.7,73.5,22
"7","t",0,0,1,1,2,3,2,3,2,2,3,84,84,0,84,84,84,87,87,74.6,70,21
"8","n",0,0,0,0,2,2,5,2,7,1,1,83,83,0,83,83,83,83,83,75.3,63.5,8
"9","j",0,0,0,0,3,2,4,1,1,1,4,66,66,0,66,66,66,66,66,54.2,52,11
"10","r",0,0,0,1,1,2,2,1,3,3,0,56,56,0,56,56,56,57,56,49.3,44,10
"11","r",0,0,0,1,2,1,0,2,1,1,1,42,42,0,42,42,42,43,42,35.3,34.5,12
"12","p",0,0,0,0,0,2,1,2,2,3,0,37,37,0,37,37,37,37,37,34,27,2
"13","r",0,0,0,0,2,1,1,1,1,0,4,36,36,0,36,36,36,36,36,30.1,28,7
"14","e",0,0,0,0,0,2,0,0,1,3,1,22,22,0,22,22,22,22,22,19.5,15.5,2
"15","s",0,0,0,0,2,0,0,0,2,1,0,22,22,0,22,22,22,22,22,19,17,6
"16","i",0,0,0,0,1,0,0,1,1,1,0,16,16,0,16,16,16,16,16,14.4,12,3
"17","b",0,0,0,0,0,1,0,1,1,0,1,14,14,0,14,14,14,14,14,12.9,10.5,1
"18","t",0,0,0,0,0,0,0,1,0,4,1,13,13,0,13,13,13,13,13,12.9,7.5,0
"19","j",0,0,0,0,0,0,1,1,1,0,0,12,12,0,12,12,12,12,12,11.6,9,0
"20","d",0,0,0,0,0,0,0,0,1,1,0,5,5,0,5,5,5,5,5,5.5,3,0
"21","a",0,0,0,0,0,0,1,0,0,0,0,5,5,0,5,5,5,5,5,4.2,4,0
"22","r",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"23","r",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"24","d",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"25","m",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"26","b",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"27","d",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"28","m",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"29","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
