Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
l,,22,3,3,0,0,0,0,0,0,0
m,,3,22,2,1,0,0,0,0,0,0
j,,3,2,15,5,3,0,0,0,0,0
c,,,1,3,7,6,4,1,4,2,2
b,,,,1,5,5,4,6,0,2,2
t,,,,3,3,3,4,3,1,6,3
a,,,,0,4,1,5,2,5,1,1
j,,,,1,0,5,1,7,2,1,1
c,,,,,0,2,4,3,4,5,4
m,,,,,2,2,4,0,4,0,2
c,,,,,1,0,0,1,2,1,3
g,,,,,,1,1,0,1,1,0
e,,,,,,,0,0,0,3,4
c,,,,,,,1,0,1,0,1
r,,,,,,,,1,0,2,0
p,,,,,,,,0,1,1,1
m,,,,,,,,1,0,0,2
r,,,,,,,,1,0,1,0
s,,,,,,,,1,0,0,1
k,,,,,,,,0,1,1,0
j,,,,,,,,1,0,0,0
v,,,,,,,,,1,0,0
d,,,,,,,,,1,0,0
r,,,,,,,,,,1,0
t,,,,,,,,,,1,0
k,,,,,,,,,,,1
j,,,,,,,,,,,1
