Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
j,,28,0,0,0,0,0,0,0,0,0
m,,,11,5,2,4,2,2,2,0,0
m,,,9,4,4,4,1,0,4,0,1
b,,,1,6,5,3,3,2,3,0,2
g,,,5,2,4,0,6,2,1,1,1
m,,,1,2,4,6,2,4,1,1,1
t,,,1,3,4,2,2,3,2,4,3
f,,,,3,1,2,4,2,4,5,3
k,,,,2,3,1,3,3,4,2,0
a,,,,,0,2,2,2,2,3,0
l,,,,,1,0,0,3,0,1,2
k,,,,,,1,1,1,1,1,2
m,,,,,,1,1,2,0,1,1
d,,,,,,1,1,0,0,2,4
h,,,,,,1,,0,2,2,2
c,,,,1,,,,0,1,2,2
g,,,,,,,,0,0,2,1
j,,,,,,,,1,0,0,0
t,,,,,,,,1,0,0,0
j,,,,,,,,,1,0,0
b,,,,,,,,,,1,0
a,,,,,,,,,,,1
b,,,,,,,,,,,1
b,,,,,,,,,,,1
