"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","j",0,22,5,4,1,0,0,0,0,0,0,392,304,220,370,348,326,384,385,424.5,431.5,278
"2","b",0,6,8,8,6,1,1,1,0,1,0,279,255,60,273,267,261,297,297,273.6,290,175
"3","m",0,3,10,11,5,1,2,0,0,0,0,271,259,30,268,265,262,299,298,260.9,282.5,171
"4","j",0,0,6,7,5,9,1,0,0,2,0,208,208,0,208,208,208,227,226,182.2,200,101
"5","t",0,1,3,1,12,5,4,2,2,0,1,198,194,10,197,196,195,204,206,168.6,178.5,77
"6","v",0,0,0,0,1,4,7,7,2,7,3,117,117,0,117,117,117,117,117,103.7,87.5,7
"7","j",0,0,0,0,0,1,6,8,8,4,2,102,102,0,102,102,102,102,102,98.9,74,1
"8","a",0,0,0,0,1,8,3,0,5,4,2,95,95,0,95,95,95,95,95,81.1,73,11
"9","s",0,0,0,0,1,1,3,3,5,5,6,71,71,0,71,71,71,71,71,67.3,50,4
"10","g",0,0,0,0,0,0,2,8,6,4,3,71,71,0,71,71,71,71,71,71.6,49.5,0
"11","c",0,0,0,1,0,1,0,0,1,2,2,23,23,0,23,23,23,24,23,20.5,18,6
"12","g",0,0,0,0,0,0,2,0,0,1,0,12,12,0,12,12,12,12,12,10.4,9,0
"13","r",0,0,0,0,0,0,0,1,2,0,2,12,12,0,12,12,12,12,12,12.9,8,0
"14","t",0,0,0,0,0,0,0,1,0,1,2,8,8,0,8,8,8,8,8,7.9,5,0
"15","e",0,0,0,0,0,1,0,0,0,0,0,6,6,0,6,6,6,6,6,4.5,5,1
"16","e",0,0,0,0,0,0,1,0,0,0,1,6,6,0,6,6,6,6,6,5.2,4.5,0
"17","r",0,0,0,0,0,0,0,0,1,0,2,5,5,0,5,5,5,5,5,5.5,3,0
"18","d",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"19","b",0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,3,3,3,3,3,1.5,0
"20","m",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"21","r",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"22","a",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
