Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
k,,28,0,0,0,0,0,0,0,0,0
m,,,18,7,2,0,1,0,0,0,0
e,,,5,4,9,3,4,1,1,0,1
c,,,2,7,5,4,2,2,2,0,1
b,,,0,4,5,3,4,4,2,2,1
a,,,1,2,2,4,2,4,5,4,0
g,,,1,2,3,2,4,3,3,5,3
b,,,1,1,1,4,1,1,3,1,1
j,,,,0,0,2,3,4,1,4,5
s,,,,0,0,2,2,1,2,2,2
j,,,,1,1,1,1,1,1,0,0
b,,,,,,0,2,1,3,2,2
m,,,,,,1,1,1,2,1,0
b,,,,,,0,0,2,1,0,2
s,,,,,,0,1,1,0,1,1
e,,,,,,1,,1,0,0,0
h,,,,,,1,,0,1,0,0
t,,,,,,,,0,0,2,3
l,,,,,,,,1,0,0,3
d,,,,,,,,,0,2,2
t,,,,,,,,,1,0,0
k,,,,,,,,,,1,0
t,,,,,,,,,,1,0
m,,,,,,,,,,0,1
