"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","b",0,30,2,0,0,0,0,0,0,0,0,438,318,300,408,378,348,412,414,486,486,314
"2","s",0,2,17,8,4,0,1,0,0,0,0,278,270,20,276,274,272,318,327,285.7,301.5,191
"3","l",0,0,8,21,3,0,0,0,0,0,0,261,261,0,261,261,261,298,285,235.5,270,170
"4","a",0,0,5,3,18,3,0,1,1,1,0,222,222,0,222,222,222,235,237,184.9,205.5,107
"5","l",0,0,0,0,1,13,5,1,2,1,3,125,125,0,125,125,125,125,125,100.4,100.5,16
"6","s",0,0,0,0,1,5,5,4,6,7,2,112,112,0,112,112,112,112,112,101.1,83,8
"7","j",0,0,0,0,3,5,5,3,2,7,1,109,109,0,109,109,109,109,109,92.2,83.5,14
"8","c",0,0,0,0,0,2,5,11,3,5,0,100,100,0,100,100,100,100,100,93.4,74,2
"9","t",0,0,0,0,1,1,6,5,6,3,3,90,90,0,90,90,90,90,90,84.2,66.5,4
"10","c",0,0,0,0,0,0,2,1,2,1,2,24,24,0,24,24,24,24,24,23.3,17,0
"11","r",0,0,0,0,1,0,0,1,3,0,3,23,23,0,23,23,23,23,23,22.4,16.5,3
"12","r",0,0,0,0,0,0,0,2,2,1,4,20,20,0,20,20,20,20,20,20.8,13,0
"13","m",0,0,0,0,0,1,1,0,1,0,0,14,14,0,14,14,14,14,14,12.2,11,1
"14","m",0,0,0,0,0,2,0,0,0,0,1,13,13,0,13,13,13,13,13,10,10.5,2
"15","m",0,0,0,0,0,0,1,1,1,0,1,13,13,0,13,13,13,13,13,12.6,9.5,0
"16","b",0,0,0,0,0,0,0,0,2,0,3,9,9,0,9,9,9,9,9,10,5.5,0
"17","j",0,0,0,0,0,0,0,0,1,2,1,8,8,0,8,8,8,8,8,8.5,4.5,0
"18","b",0,0,0,0,0,0,1,0,0,1,0,7,7,0,7,7,7,7,7,6.2,5,0
"19","p",0,0,0,0,0,0,0,1,0,0,2,6,6,0,6,6,6,6,6,5.9,4,0
"20","f",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"21","p",0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
"22","c",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"23","r",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"24","b",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"25","v",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"26","s",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"27","s",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"28","l",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
