"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","f",0,24,4,0,0,0,0,0,0,0,0,372,276,240,348,324,300,356,360,414,414,268
"2","k",0,3,8,7,6,1,3,0,0,0,0,233,221,30,230,227,224,253,254,223.1,239.5,140
"3","a",0,0,13,8,4,1,2,0,0,0,0,225,225,0,225,225,225,259,264,221.4,237.5,144
"4","k",0,1,3,4,7,5,5,0,0,2,0,181,177,10,180,179,178,190,189,155.5,168,77
"5","p",0,0,0,5,4,7,3,3,3,2,0,150,150,0,150,150,150,155,150,122.8,128,44
"6","j",0,0,0,4,2,7,0,2,1,1,1,102,102,0,102,102,102,106,102,81.8,88.5,33
"7","k",0,0,0,0,4,4,3,4,3,2,4,100,100,0,100,100,100,100,100,84.7,78,16
"8","j",0,0,0,0,0,1,2,4,4,2,1,49,49,0,49,49,49,49,49,47.5,35.5,1
"9","d",0,0,0,0,0,0,3,4,2,1,1,40,40,0,40,40,40,40,40,38.2,29.5,0
"10","j",0,0,0,0,1,2,1,0,2,1,3,35,35,0,35,35,35,35,35,30.2,26.5,5
"11","j",0,0,0,0,0,0,2,0,3,3,2,27,27,0,27,27,27,27,27,26.9,18,0
"12","c",0,0,0,0,0,0,1,2,2,2,1,24,24,0,24,24,24,24,24,24,16.5,0
"13","w",0,0,0,0,0,0,1,0,0,7,0,19,19,0,19,19,19,19,19,18.2,11,0
"14","l",0,0,0,0,0,0,0,3,1,0,3,18,18,0,18,18,18,18,18,18.2,12.5,0
"15","w",0,0,0,0,0,0,1,3,0,0,0,17,17,0,17,17,17,17,17,15.9,13,0
"16","r",0,0,0,0,0,0,0,1,1,0,4,11,11,0,11,11,11,11,11,11.4,7,0
"17","m",0,0,0,0,0,0,0,1,2,0,0,10,10,0,10,10,10,10,10,10.9,7,0
"18","d",0,0,0,0,0,0,1,0,0,1,2,9,9,0,9,9,9,9,9,8.2,6,0
"19","p",0,0,0,0,0,0,0,1,0,2,1,9,9,0,9,9,9,9,9,8.9,5.5,0
"20","c",0,0,0,0,0,0,0,0,2,0,2,8,8,0,8,8,8,8,8,9,5,0
"21","m",0,0,0,0,0,0,0,0,1,2,1,8,8,0,8,8,8,8,8,8.5,4.5,0
"22","c",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"23","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"24","r",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
