Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
f,,24,4,0,0,0,0,0,0,0,0
k,,3,8,7,6,1,3,0,0,0,0
a,,0,13,8,4,1,2,0,0,0,0
k,,1,3,4,7,5,5,0,0,2,0
p,,,,5,4,7,3,3,3,2,0
j,,,,4,2,7,0,2,1,1,1
k,,,,,4,4,3,4,3,2,4
j,,,,,0,1,2,4,4,2,1
d,,,,,0,0,3,4,2,1,1
j,,,,,1,2,1,0,2,1,3
j,,,,,,,2,0,3,3,2
c,,,,,,,1,2,2,2,1
w,,,,,,,1,0,0,7,0
l,,,,,,,0,3,1,0,3
w,,,,,,,1,3,0,0,0
r,,,,,,,0,1,1,0,4
m,,,,,,,0,1,2,0,0
d,,,,,,,1,0,0,1,2
p,,,,,,,,1,0,2,1
c,,,,,,,,,2,0,2
m,,,,,,,,,1,2,1
c,,,,,,,,,1,,0
j,,,,,,,,,,,1
r,,,,,,,,,,,1
