Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
b,,24,4,0,,,,0,0,0,
l,,4,20,3,1,,,0,0,0,
d,,,3,5,8,7,3,0,1,0,
f,,,1,12,4,3,3,1,1,2,
r,,,,8,9,3,5,0,0,3,
m,,,,,2,7,3,5,2,3,
d,,,,,0,4,5,3,5,1,1
m,,,,,2,0,2,6,4,3,0
m,,,,,0,3,0,3,3,3,4
a,,,,,1,0,1,3,4,3,3
g,,,,,0,0,3,1,2,0,3
r,,,,,0,1,2,0,0,3,1
g,,,,,1,,0,0,2,0,4
b,,,,,,,0,2,1,0,3
r,,,,,,,0,1,0,2,3
j,,,,,,,0,1,1,0,2
j,,,,,,,1,0,0,2,0
m,,,,,,,,1,1,0,1
j,,,,,,,,1,0,0,0
j,,,,,,,,,1,0,0
t,,,,,,,,,,1,0
r,,,,,,,,,,1,0
j,,,,,,,,,,1,0
j,,,,,,,,,,,1
t,,,,,,,,,,,1
j,,,,,,,,,,,1
