Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
j,,7,6,7,0,5,2,1,0,0,0
p,,8,6,4,1,2,2,3,0,0,0
r,,4,7,6,4,4,0,1,1,0,0
m,,4,4,5,9,1,5,0,0,0,0
r,,4,1,2,4,8,4,3,1,0,1
d,,1,2,2,9,3,7,2,1,1,0
f,,,2,2,0,5,5,10,2,1,0
j,,,,,1,,1,2,6,3,5
s,,,,,,,1,0,4,10,7
k,,,,,,,0,2,6,6,4
b,,,,,,,1,1,2,2,2
c,,,,,,,,2,1,1,3
j,,,,,,,,1,1,1,1
m,,,,,,,,,2,1,1
a,,,,,,,,,0,1,2
o,,,,,,,,,1,0,0
m,,,,,,,,,,1,0
j,,,,,,,,,,,1
b,,,,,,,,,,,1
