"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","j",0,21,7,0,0,0,0,0,0,0,0,357,273,210,336,315,294,350,357,399,399,259
"2","n",0,5,7,7,2,1,3,1,1,0,1,232,212,50,227,222,217,248,248,232,241.5,141
"3","d",0,2,6,3,3,2,5,2,2,1,0,180,172,20,178,176,174,193,196,175.3,177,88
"4","m",0,0,3,1,3,9,1,1,3,3,1,135,135,0,135,135,135,142,144,119.1,119,44
"5","k",0,0,0,4,4,5,5,1,4,1,2,135,135,0,135,135,135,139,135,111.4,114,37
"6","m",0,0,1,3,4,3,4,5,1,2,1,127,127,0,127,127,127,132,130,108.3,109,37
"7","b",0,0,1,3,3,1,3,3,2,4,2,103,103,0,103,103,103,108,106,90.8,87.5,32
"8","a",0,0,0,4,4,2,0,2,2,3,6,98,98,0,98,98,98,102,98,81.8,82,34
"9","a",0,0,2,1,2,0,3,6,1,4,2,92,92,0,92,92,92,97,98,87,78,25
"10","i",0,0,0,0,1,1,2,1,6,2,1,50,50,0,50,50,50,50,50,47.8,36.5,4
"11","r",0,0,1,1,0,2,0,4,0,1,2,49,49,0,49,49,49,52,52,45.6,42.5,14
"12","p",0,0,0,0,2,0,2,1,2,1,0,36,36,0,36,36,36,36,36,31.3,28,6
"13","t",0,0,0,1,0,1,0,0,2,3,1,27,27,0,27,27,27,28,27,25,20.5,6
"14","d",0,0,0,0,0,1,0,0,0,0,1,7,7,0,7,7,7,7,7,5.5,5.5,1
"15","t",0,0,0,0,0,0,0,1,0,0,3,7,7,0,7,7,7,7,7,6.9,4.5,0
"16","d",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"17","j",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"18","e",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"19","t",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"20","r",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"21","c",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"22","r",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"23","m",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"24","p",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"25","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
