"","ï..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Miguel Cabrera, Tigers",0,23,7,0,0,0,0,0,0,0,0,385,385,293,230,362,339,316,376,383,430,430,279
"2","Mike Trout, Angels",0,5,19,3,1,1,0,1,0,0,0,282,282,262,50,277,272,267,318,334,309.9,315,202
"3","Chris Davis, Orioles",0,1,4,11,12,1,0,1,0,0,0,232,232,228,10,231,230,229,250,243,197.4,225.5,130
"4","Josh Donaldson, Athletics",0,1,0,14,9,3,3,0,0,0,0,222,222,218,10,221,220,219,235,221,177.6,208.5,110
"5","Robinson Cano, Yankees",0,0,0,1,5,9,2,6,5,2,0,150,150,150,0,150,150,150,151,150,125.3,121,29
"6","Evan Longoria, Rays",0,0,0,0,0,4,6,6,4,5,3,103,103,103,0,103,103,103,103,103,93.6,76.5,4
"7","Dustin Pedroia, Red Sox",0,0,0,0,1,5,5,5,4,2,1,99,99,99,0,99,99,99,99,99,87,76.5,8
"8","Adrian Beltre, Rangers",0,0,0,0,0,2,8,7,3,4,2,99,99,99,0,99,99,99,99,99,90.4,74,2
"9","Manny Machado, Orioles",0,0,0,0,0,2,1,2,5,5,7,57,57,57,0,57,57,57,57,57,55.5,38.5,2
"10","David Ortiz, Red Sox",0,0,0,0,2,1,2,2,1,2,2,47,47,47,0,47,47,47,47,47,40.2,36,7
"11","Jason Kipnis, Indians",0,0,0,0,0,1,1,0,3,3,5,31,31,31,0,31,31,31,31,31,30.2,20.5,1
"12","Max Scherzer, Tigers",0,0,0,1,0,0,2,0,1,1,2,25,25,25,0,25,25,25,26,25,22.4,20,5
"13","Adam Jones, Orioles",0,0,0,0,0,1,0,0,1,0,0,9,9,9,0,9,9,9,9,9,8,7,1
"14","Edwin Encarnacion, Blue Jays",0,0,0,0,0,0,0,0,1,2,0,7,7,7,0,7,7,7,7,7,7.5,4,0
"15","Greg Holland, Royals",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"16","Carlos Santana, Indians",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"17","Coco Crisp, Athletics",0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,3,3,3,3,3,3,1.5,0
"18","Jacoby Ellsbury, Red Sox",0,0,0,0,0,0,0,0,0,1,1,3,3,3,0,3,3,3,3,3,3,1.5,0
"19","Torii Hunter, Tigers",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"20","Hisashi Iwakuma, Mariners",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"21","Koji Uehara, Red Sox",0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
"22","Yu Darvish, Rangers",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"23","Felix Hernandez, Mariners",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"24","Salvador Perez, Royals",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"25","Shane Victorino, Red Sox",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
