"","ï..Player","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","X","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","BARRY BONDS","Giants",28,2,2,0,0,0,0,0,0,0,426,426,314,280,398,370,342,404,404,468,471,304
"2","ALBERT PUJOLS","Cardinals",3,29,0,0,0,0,0,0,0,0,303,303,291,30,300,297,294,358,387,351,351,233
"3","GARY SHEFFIELD","Braves",1,1,18,9,2,1,0,0,0,0,247,247,243,10,246,245,244,266,249,201.2,238,136
"4","JIM THOME","Phillies",0,0,5,12,9,5,0,0,0,0,203,203,203,0,203,203,203,208,203,154,177,70
"5","JAVY LOPEZ","Braves",0,0,4,3,5,8,8,1,0,1,159,159,159,0,159,159,159,163,159,132.8,133.5,34
"6","ERIC GAGNE","Dodgers",0,0,3,6,5,4,4,2,2,1,143,143,143,0,143,143,143,146,143,116.4,119.5,38
"7","TODD HELTON","Rockies",0,0,0,2,3,2,2,6,2,3,75,75,75,0,75,75,75,75,75,67.7,56.5,9
"8","SAMMY SOSA","Cubs",0,0,0,0,1,4,2,2,6,1,53,53,53,0,53,53,53,53,53,49.1,37.5,1
"9","MARK PRIOR","Cubs",0,0,0,0,2,3,1,1,4,2,44,44,44,0,44,44,44,44,44,39,32,2
"10","JUAN PIERRE","Marlins",0,0,0,0,1,0,5,3,1,2,39,39,39,0,39,39,39,39,39,38.5,28,1
"11","MIKE LOWELL","Marlins",0,0,0,0,0,2,2,3,1,1,30,30,30,0,30,30,30,30,30,29.7,21.5,0
"12","RICHIE SEXSON","Brewers",0,0,0,0,1,1,0,1,1,5,21,21,21,0,21,21,21,21,21,19.2,14.5,1
"13","ANDRUW JONES","Braves",0,0,0,0,0,1,1,1,1,1,15,15,15,0,15,15,15,15,15,14.6,10.5,0
"14","JEFF BAGWELL","Astros",0,0,0,0,0,1,0,2,1,1,14,14,14,0,14,14,14,14,14,14.2,9.5,0
"15","EDGAR RENTERIA","Cardinals",0,0,0,0,1,0,0,0,1,5,13,13,13,0,13,13,13,13,13,11.5,8.5,1
"16","PRESTON WILSON","Rockies",0,0,0,0,0,0,1,1,2,1,12,12,12,0,12,12,12,12,12,12.4,7.5,0
"17","VLADIMIR GUERRERO","Expos",0,0,0,0,0,0,2,0,1,0,10,10,10,0,10,10,10,10,10,9.8,7,0
"18","JOHN SMOLTZ","Braves",0,0,0,0,1,0,0,1,0,0,9,9,9,0,9,9,9,9,9,8,7,1
"19","MARCUS GILES","Braves",0,0,0,0,1,0,0,0,1,1,9,9,9,0,9,9,9,9,9,7.5,6.5,1
"20","RICHARD HIDALGO","Astros",0,0,0,0,0,0,0,1,2,2,9,9,9,0,9,9,9,9,9,9.5,5,0
"21","LUIS CASTILLO","Marlins",0,0,0,0,0,0,2,0,0,0,8,8,8,0,8,8,8,8,8,7.8,6,0
"22","JASON SCHMIDT","Giants",0,0,0,0,0,0,0,1,1,2,7,7,7,0,7,7,7,7,7,7.5,4,0
"23","IVAN RODRIGUEZ","Marlins",0,0,0,0,0,0,1,0,0,1,5,5,5,0,5,5,5,5,5,4.9,3.5,0
"24","BILLY WAGNER","Astros",0,0,0,0,0,0,0,0,2,1,5,5,5,0,5,5,5,5,5,5,2.5,0
"25","LUIS GONZALEZ","Diamondbacks",0,0,0,0,0,0,0,0,2,0,4,4,4,0,4,4,4,4,4,4,2,0
"26","CHIPPER JONES","Braves",0,0,0,0,0,0,1,0,0,0,4,4,4,0,4,4,4,4,4,3.9,3,0
"27","BOBBY ABREU","Phillies",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"28","MIGUEL CABRERA","Marlins",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"29","JIM EDMONDS","Cardinals",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"30","MARK GRUDZIELANEK","Cubs",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"31","DERREK LEE","Marlins",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"32","RUSS ORTIZ","Braves",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"33","RAFAEL FURCAL","Braves",0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"34","DONTRELLE WILLIS","Marlins",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
"35","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
