"","ï..Player","X","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Joey Votto, Cincinnati",0,31,1,0,0,0,0,0,0,0,0,443,443,319,310,412,381,350,414,415,491,491,317
"2","Albert Pujols, St. Louis",0,1,21,8,1,0,1,0,0,0,0,279,279,275,10,278,277,276,328,341,297.2,310,200
"3","Carlos Gonzalez, Colorado",0,0,7,13,5,4,2,1,0,0,0,240,240,240,0,240,240,240,267,261,213.3,238.5,133
"4","Adrian Gonzalez, San Diego",0,0,1,3,15,8,0,2,1,0,0,197,197,197,0,197,197,197,202,200,152.3,172.5,75
"5","Troy Tulowitzki, Colorado",0,0,0,2,1,7,8,4,3,0,2,132,132,132,0,132,132,132,134,132,111.2,108,20
"6","Roy Halladay, Philadelphia",0,0,1,3,4,3,5,2,5,0,3,130,130,130,0,130,130,130,135,133,112.8,111,37
"7","Aubrey Huff, San Francisco",0,0,0,0,3,2,2,3,1,4,4,70,70,70,0,70,70,70,70,70,59.6,53,11
"8","Jayson Werth, Philadelphia",0,0,0,0,0,3,3,1,3,2,2,52,52,52,0,52,52,52,52,52,46.5,39,3
"9","Martin Prado, Atlanta",0,0,0,0,0,1,1,4,4,5,2,51,51,51,0,51,51,51,51,51,50.3,35,1
"10","Ryan Howard, Philadelphia",0,0,1,1,1,2,2,1,0,0,0,50,50,50,0,50,50,50,53,53,43.3,45.5,17
"11","Buster Posey, San Francisco",0,0,0,1,1,1,0,1,2,4,1,40,40,40,0,40,40,40,41,40,35.9,30.5,9
"12","Matt Holliday, St. Louis",0,0,0,0,0,0,1,4,1,4,0,32,32,32,0,32,32,32,32,32,31.3,22,0
"13","Brian Wilson, San Francisco",0,0,0,1,0,0,2,0,2,1,2,28,28,28,0,28,28,28,29,28,25.9,22,5
"14","Scott Rolen, Cincinnati",0,0,0,0,0,0,1,1,3,3,2,26,26,26,0,26,26,26,26,26,26.6,17,0
"15","Ryan Braun, Milwaukee",0,0,0,0,0,0,1,2,1,1,1,19,19,19,0,19,19,19,19,19,18.5,13.5,0
"16","Ryan Zimmerman, Washington",0,0,0,0,0,0,0,2,1,2,3,18,18,18,0,18,18,18,18,18,18.3,11.5,0
"17","Carlos Ruiz, Philadelphia",0,0,0,0,0,1,1,0,0,0,1,12,12,12,0,12,12,12,12,12,9.7,9.5,1
"18","Dan Uggla, Florida",0,0,0,0,0,0,1,0,1,1,2,12,12,12,0,12,12,12,12,12,11.7,8,0
"19","Adam Wainwright, St. Louis",0,0,0,0,0,0,0,1,2,1,0,12,12,12,0,12,12,12,12,12,12.9,8,0
"20","Jason Heyward, Atlanta",0,0,0,0,0,0,0,2,0,1,1,11,11,11,0,11,11,11,11,11,10.8,7.5,0
"21","Brian McCann, Atlanta",0,0,0,0,0,0,1,0,1,0,1,9,9,9,0,9,9,9,9,9,8.7,6.5,0
"22","Adam Dunn, Washington",0,0,0,0,0,0,0,1,0,1,3,9,9,9,0,9,9,9,9,9,8.9,5.5,0
"23","Ubaldo Jimenez, Colorado",0,0,0,0,1,0,0,0,0,0,0,7,7,7,0,7,7,7,7,7,5,6,3
"24","David Wright, New York",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"25","Corey Hart, Milwaukee",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"26","Josh Johnson, Florida",0,0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"27","Heath Bell, San Diego",0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
