"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","f",0,28,0,0,0,0,0,0,0,0,0,392,280,280,364,336,308,364,364,434,434,280
"2","p",0,0,13,5,3,1,4,0,1,1,0,209,209,0,209,209,209,240,248,210.8,218.5,126
"3","j",0,0,4,11,4,4,3,1,1,0,0,198,198,0,198,198,198,217,210,171.5,191,99
"4","j",0,0,4,4,10,4,3,1,1,0,1,185,185,0,185,185,185,197,197,157,171.5,82
"5","k",0,0,4,5,7,7,2,1,0,0,1,182,182,0,182,182,182,195,194,154.3,170.5,81
"6","r",0,0,3,2,1,1,2,5,3,2,3,102,102,0,102,102,102,110,111,99.4,91,35
"7","a",0,0,0,0,1,4,3,3,4,5,1,81,81,0,81,81,81,81,81,72.3,60.5,7
"8","r",0,0,0,0,0,1,3,4,3,2,2,52,52,0,52,52,52,52,52,49.2,38,1
"9","j",0,0,0,0,1,2,3,1,3,1,2,51,51,0,51,51,51,51,51,45,39,5
"10","c",0,0,0,1,0,1,2,2,2,5,2,50,50,0,50,50,50,51,50,46.2,37,6
"11","j",0,0,0,0,1,2,0,1,2,0,0,29,29,0,29,29,29,29,29,24.9,23,5
"12","j",0,0,0,0,0,1,1,3,0,0,2,25,25,0,25,25,25,25,25,22.4,19,1
"13","m",0,0,0,0,0,0,0,1,1,3,2,15,15,0,15,15,15,15,15,15.4,9,0
"14","j",0,0,0,0,0,0,0,1,3,1,0,15,15,0,15,15,15,15,15,16.4,10,0
"15","k",0,0,0,0,0,0,0,1,0,2,3,11,11,0,11,11,11,11,11,10.9,6.5,0
"16","t",0,0,0,0,0,0,0,0,1,2,3,10,10,0,10,10,10,10,10,10.5,5.5,0
"17","c",0,0,0,0,0,0,0,1,0,2,2,10,10,0,10,10,10,10,10,9.9,6,0
"18","m",0,0,0,0,0,0,0,1,1,0,1,8,8,0,8,8,8,8,8,8.4,5.5,0
"19","d",0,0,0,0,0,0,1,0,0,1,0,7,7,0,7,7,7,7,7,6.2,5,0
"20","c",0,0,0,0,0,0,1,0,0,1,0,7,7,0,7,7,7,7,7,6.2,5,0
"21","a",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"22","d",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"23","g",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"24","k",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"25","c",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"26","r",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
