"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","c",0,29,2,1,0,0,0,0,0,0,0,432,316,290,403,374,345,408,409,477,478.5,309
"2","j",0,1,20,6,4,1,0,0,0,0,0,276,272,10,275,274,273,321,335,289,302.5,193
"3","m",0,2,7,21,0,1,0,1,0,0,0,269,261,20,267,265,263,302,288,249.4,280.5,175
"4","g",0,0,1,2,7,2,3,3,2,1,0,121,121,0,121,121,121,125,124,100.8,104.5,40
"5","m",0,0,1,1,3,1,3,6,5,7,3,115,115,0,115,115,115,118,118,107,90,22
"6","r",0,0,1,0,4,5,7,2,1,0,0,113,113,0,113,113,113,115,116,93.7,95.5,24
"7","m",0,0,0,0,5,7,2,3,1,3,1,109,109,0,109,109,109,109,109,87.1,87.5,22
"8","e",0,0,0,1,6,4,2,0,1,0,1,88,88,0,88,88,88,89,88,67.4,74.5,27
"9","s",0,0,0,0,0,3,5,2,6,5,8,87,87,0,87,87,87,87,87,81.3,62,3
"10","l",0,0,0,0,0,0,1,4,0,5,4,35,35,0,35,35,35,35,35,33.8,23,0
"11","v",0,0,0,0,1,0,0,2,4,1,5,34,34,0,34,34,34,34,34,33.8,23.5,3
"12","c",0,0,0,0,1,2,1,1,0,2,0,32,32,0,32,32,32,32,32,26.1,25,5
"13","j",0,0,0,0,0,1,2,2,1,2,0,31,31,0,31,31,31,31,31,28.2,23,1
"14","s",0,0,0,0,0,1,2,1,0,0,3,23,23,0,23,23,23,23,23,19.8,17.5,1
"15","r",0,0,0,0,0,2,1,0,1,0,1,21,21,0,21,21,21,21,21,17.7,16.5,2
"16","b",0,0,0,0,0,1,0,2,1,0,2,19,19,0,19,19,19,19,19,17.8,14,1
"17","c",0,0,0,0,0,0,0,0,4,1,1,15,15,0,15,15,15,15,15,17,9.5,0
"18","l",0,0,0,0,0,0,0,1,1,2,1,12,12,0,12,12,12,12,12,12.4,7.5,0
"19","b",0,0,0,0,0,1,1,0,0,0,0,11,11,0,11,11,11,11,11,8.7,9,1
"20","b",0,0,0,0,0,0,2,0,0,0,1,11,11,0,11,11,11,11,11,9.4,8.5,0
"21","m",0,0,0,0,0,0,0,1,2,0,0,10,10,0,10,10,10,10,10,10.9,7,0
"22","b",0,0,0,0,1,0,0,0,0,0,0,7,7,0,7,7,7,7,7,5,6,3
"23","b",0,0,0,0,0,0,0,1,0,1,0,6,6,0,6,6,6,6,6,5.9,4,0
"24","b",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"25","m",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"26","j",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"27","k",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"28","t",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
