"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","t",0,12,10,2,0,0,0,0,0,0,0,274,226,120,262,250,238,284,292,304,307,200
"2","b",0,10,10,1,3,0,0,0,0,0,0,259,219,100,249,239,229,270,279,281.5,286,184
"3","b",0,1,3,14,3,2,1,0,0,0,0,191,187,10,190,189,188,210,199,166.2,191,112
"4","w",0,0,0,3,1,7,3,4,4,0,2,118,118,0,118,118,118,121,118,100.2,98,25
"5","h",0,0,0,1,3,1,8,7,3,0,0,112,112,0,112,112,112,113,112,97.4,90,15
"6","r",0,0,0,1,5,3,3,5,3,1,3,110,110,0,110,110,110,111,110,92.6,88.5,23
"7","b",0,1,1,1,4,1,3,3,2,2,1,103,99,10,102,101,100,105,105,93.3,90.5,35
"8","l",0,0,0,1,2,4,4,2,2,2,5,89,89,0,89,89,89,90,89,75.1,70.5,15
"9","d",0,0,0,0,3,3,2,0,6,4,1,76,76,0,76,76,76,76,76,66.9,57.5,12
"10","f",0,0,0,0,0,1,0,1,1,4,2,23,23,0,23,23,23,23,23,21.9,15,1
"11","t",0,0,0,0,0,2,0,0,0,2,0,16,16,0,16,16,16,16,16,13,12,2
"12","d",0,0,0,0,0,0,0,1,1,2,0,11,11,0,11,11,11,11,11,11.4,7,0
"13","j",0,0,0,0,0,0,0,1,1,1,2,11,11,0,11,11,11,11,11,11.4,7,0
"14","a",0,0,0,0,0,0,0,0,1,1,0,5,5,0,5,5,5,5,5,5.5,3,0
"15","j",0,0,0,0,0,0,0,0,0,2,1,5,5,0,5,5,5,5,5,5,2.5,0
"16","t",0,0,0,0,0,0,0,0,0,2,0,4,4,0,4,4,4,4,4,4,2,0
"17","j",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"18","r",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"19","b",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"20","d",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"21","c",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"22","o",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
