"","ï..Player","X1st","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","X","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","Jimmy Rollins","Philadelphia Phillies",16,7,4,4,1,0,0,0,0,0,353,353,289,160,337,321,305,355,358,372,382.5,242
"2","Matt Holliday","Colorado Rockies",11,18,1,1,0,1,0,0,0,0,336,336,292,110,325,314,303,362,379,375.2,377.5,244
"3","Prince Fielder","Milwaukee Brewers",5,6,17,3,0,0,0,1,0,0,284,284,264,50,279,274,269,308,297,269.5,296.5,186
"4","David Wright","New York Mets",0,1,4,12,7,1,1,2,0,0,182,182,182,0,182,182,182,188,185,143.1,160.5,70
"5","Ryan Howard","Philadelphia Phillies",0,0,2,6,3,3,3,2,0,3,112,112,112,0,112,112,112,114,112,90.8,93.5,31
"6","Chipper Jones","Atlanta Braves",0,0,1,3,3,7,5,1,1,0,107,107,107,0,107,107,107,108,107,89.4,87,17
"7","Jake Peavy","San Diego Padres",0,0,0,2,5,5,4,1,4,1,97,97,97,0,97,97,97,97,97,81.6,75.5,11
"8","Chase Utley","Philadelphia Phillies",0,0,1,0,5,2,6,4,1,3,89,89,89,0,89,89,89,90,89,79.8,69.5,10
"9","Albert Pujols","St. Louis Cardinals",0,0,0,0,1,2,2,3,6,5,50,50,50,0,50,50,50,50,50,48.2,33.5,1
"10","Hanley Ramirez","Florida Marlins",0,0,0,0,3,2,0,4,4,1,49,49,49,0,49,49,49,49,49,44.9,35.5,3
"11","Eric Byrnes","Arizona Diamondbacks",0,0,0,0,0,1,3,4,7,0,43,43,43,0,43,43,43,43,43,43.9,28,0
"12","Alfonso Soriano","Chicago Cubs",0,0,1,0,1,2,2,1,1,2,39,39,39,0,39,39,39,40,39,34.7,31,6
"13","Aramis Ramirez","Chicago Cubs",0,0,0,0,2,2,1,2,2,0,36,36,36,0,36,36,36,36,36,32.3,27,2
"14","Jose Valverde","Arizona Diamondbacks",0,0,0,0,1,2,0,0,1,1,19,19,19,0,19,19,19,19,19,15.9,14.5,1
"15","Miguel Cabrera","Florida Marlins",0,0,0,1,0,0,2,0,0,3,18,18,18,0,18,18,18,18,18,15.8,13.5,3
"16","Jose Reyes","New York Mets",0,0,0,0,0,1,2,0,1,1,16,16,16,0,16,16,16,16,16,15,11.5,0
"17","Brandon Webb","Arizona Diamondbacks",0,0,0,0,0,0,1,1,2,4,15,15,15,0,15,15,15,15,15,15.4,9,0
"18","Troy Tulowitzki","Colorado Rockies",0,0,1,0,0,0,0,1,0,2,13,13,13,0,13,13,13,14,13,12,11,5
"19","Carlos Lee","Houston Astros",0,0,0,0,0,0,0,1,1,2,7,7,7,0,7,7,7,7,7,7.5,4,0
"20","Adrian Gonzalez","San Diego Padres",0,0,0,0,0,1,0,0,0,1,6,6,6,0,6,6,6,6,6,5.2,4.5,0
"21","Carlos Beltran","New York Mets",0,0,0,0,0,0,0,2,0,0,6,6,6,0,6,6,6,6,6,7,4,0
"22","Brandon Phillips","Cincinnati Reds",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"23","Aaron Rowand","Philadelphia Phillies",0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
"24","Brad Hawpe","Colorado Rockies",0,0,0,0,0,0,0,0,1,0,2,2,2,0,2,2,2,2,2,2,1,0
"25","Ryan Braun","Milwaukee Brewers",0,0,0,0,0,0,0,0,0,2,2,2,2,0,2,2,2,2,2,2,1,0
"26","Carlos Marmol","Chicago Cubs",0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
