"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","m",0,21,6,1,0,0,0,0,0,0,0,356,272,210,335,314,293,348,353,395,396.5,257
"2","a",0,5,7,11,4,0,1,0,0,0,0,254,234,50,249,244,239,274,270,246.7,267,166
"3","a",0,2,11,9,4,1,0,0,0,0,1,234,226,20,232,230,228,263,265,230.5,248,155
"4","g",0,0,4,5,7,7,1,2,0,2,0,184,184,0,184,184,184,197,196,157,171,81
"5","j",0,0,0,2,8,10,4,1,1,1,1,162,162,0,162,162,162,164,162,125.2,136.5,44
"6","t",0,0,0,0,5,5,8,1,5,4,0,132,132,0,132,132,132,132,132,110.5,104,20
"7","j",0,0,0,0,0,2,3,3,8,1,4,69,69,0,69,69,69,69,69,67.3,50,2
"8","m",0,0,0,0,0,1,4,5,3,0,4,59,59,0,59,59,59,59,59,55.3,44,1
"9","m",0,0,0,0,0,0,2,5,1,2,2,39,39,0,39,39,39,39,39,37.4,28,0
"10","b",0,0,0,0,0,1,0,3,2,3,2,32,32,0,32,32,32,32,32,31.2,22,1
"11","d",0,0,0,0,0,1,1,0,1,4,2,24,24,0,24,24,24,24,24,22.2,16,1
"12","n",0,0,0,0,0,0,2,1,1,2,3,24,24,0,24,24,24,24,24,22.8,16.5,0
"13","b",0,0,0,0,0,0,1,2,1,2,2,22,22,0,22,22,22,22,22,21.5,15,0
"14","e",0,0,0,0,0,0,0,0,2,3,2,14,14,0,14,14,14,14,14,15,8,0
"15","t",0,0,0,0,0,0,1,1,1,0,0,12,12,0,12,12,12,12,12,11.6,9,0
"16","e",0,0,0,0,0,0,0,2,1,0,1,12,12,0,12,12,12,12,12,12.3,8.5,0
"17","i",0,0,0,0,0,0,0,0,1,3,1,10,10,0,10,10,10,10,10,10.5,5.5,0
"18","b",0,0,0,0,0,0,0,2,0,0,0,8,8,0,8,8,8,8,8,7.8,6,0
"19","d",0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
"20","p",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"21","m",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
