Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
m,,12,12,4,0,0,0,0,0,0,0
a,,11,10,7,0,0,0,0,0,0,0
e,,4,5,12,5,2,0,0,0,0,0
j,,1,0,1,6,6,4,1,1,1,1
j,,,0,1,3,5,8,2,3,2,0
r,,,1,2,3,5,5,2,0,1,0
t,,,,0,6,3,4,2,6,1,2
f,,,,1,4,1,2,2,5,3,2
j,,,,,1,2,1,4,2,5,1
g,,,,,,2,1,4,2,1,4
r,,,,,,1,1,2,2,3,3
m,,,,,,1,0,4,1,2,1
t,,,,,,,0,3,0,3,2
j,,,,,,,1,0,2,2,3
p,,,,,,,1,1,1,0,2
m,,,,,,,,1,0,1,1
c,,,,,,,,,1,0,2
w,,,,,,,,,0,2,1
g,,,,,,,,,1,0,0
c,,,,,,,,,,0,3
k,,,,,,,,,,1,0
