Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
b,,11,5,7,2,1,1,0,0,0,1
d,,6,6,6,6,3,1,0,0,0,0
g,,7,8,5,3,0,2,1,1,0,1
m,,3,7,6,4,3,0,2,1,2,0
e,,,2,3,3,7,3,1,1,4,0
r,,,,0,3,7,3,5,6,1,2
l,,,,1,1,0,8,3,6,1,1
s,,,,,2,1,6,2,2,7,3
t,,,,,2,4,1,2,3,3,6
c,,,,,2,1,1,5,2,2,3
r,,1,,,,0,1,1,2,0,2
b,,,,,,0,0,3,1,2,2
m,,,,,,1,0,0,1,1,3
d,,,,,,,1,1,1,0,0
j,,,,,,,,1,0,0,1
c,,,,,,,,1,0,0,0
a,,,,,,,,,0,2,0
c,,,,,,,,,1,0,0
v,,,,,,,,,,1,1
f,,,,,,,,,,1,0
p,,,,,,,,,,1,0
j,,,,,,,,,,,1
t,,,,,,,,,,,1
