Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
j,,21,7,0,0,0,0,0,0,0,0
n,,5,7,7,2,1,3,1,1,0,1
d,,2,6,3,3,2,5,2,2,1,0
m,,,3,1,3,9,1,1,3,3,1
k,,,0,4,4,5,5,1,4,1,2
m,,,1,3,4,3,4,5,1,2,1
b,,,1,3,3,1,3,3,2,4,2
a,,,0,4,4,2,0,2,2,3,6
a,,,2,1,2,0,3,6,1,4,2
i,,,0,0,1,1,2,1,6,2,1
r,,,1,1,0,2,0,4,0,1,2
p,,,,0,2,0,2,1,2,1,0
t,,,,1,,1,,0,2,3,1
d,,,,,,1,,0,0,0,1
t,,,,,,,,1,0,0,3
d,,,,,,,,,1,0,0
j,,,,,,,,,1,0,0
e,,,,,,,,,,1,0
t,,,,,,,,,,1,0
r,,,,,,,,,,1,0
c,,,,,,,,,,,1
r,,,,,,,,,,,1
m,,,,,,,,,,,1
p,,,,,,,,,,,1
j,,,,,,,,,,,1
