Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
b,,32,,,,,,,,,
a,,,26,4,0,1,0,1,0,0,
l,,,1,7,5,6,5,2,3,1,1
v,,,4,5,3,3,5,2,3,5,1
s,,,0,3,8,4,3,2,3,3,4
j,,,0,3,2,4,8,5,2,3,1
r,,,0,5,3,4,4,2,4,1,0
j,,,1,3,5,2,1,6,2,3,3
s,,,,0,2,3,1,1,4,4,2
c,,,,0,1,2,3,2,1,3,2
c,,,,2,2,0,0,4,0,1,2
e,,,,,1,2,1,1,4,1,2
b,,,,,,,0,2,4,2,3
j,,,,,,,0,2,0,0,0
p,,,,,,,0,,1,2,1
a,,,,,,,1,,0,1,0
g,,,,,,1,,,0,0,0
j,,,,,,,,,1,1,1
t,,,,,,,,,,0,3
b,,,,,,,,,,1,0
e,,,,,,,,,,,2
l,,,,,,,,,,,2
r,,,,,,,,,,,1
j,,,,,,,,,,,1
