Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
i,,11,10,3,1,1,0,2,0,0,0
j,,8,11,7,2,0,0,0,0,0,0
b,,7,4,8,7,2,0,0,0,0,0
r,,2,2,2,8,1,4,3,2,1,1
j,,,0,3,4,10,6,1,3,0,1
a,,,1,2,4,4,5,8,1,2,0
j,,,,2,2,3,5,2,7,2,1
r,,,,0,,2,4,3,6,0,5
m,,,,0,,2,1,2,4,5,3
d,,,,0,,1,2,3,1,4,3
m,,,,1,,1,0,1,1,2,2
t,,,,,,1,0,2,0,2,0
m,,,,,,,1,0,1,2,0
r,,,,,,,,0,1,0,2
d,,,,,,,,0,0,2,1
e,,,,,,,,1,0,0,0
c,,,,,,,,,1,0,1
m,,,,,,,,,,2,0
m,,,,,,,,,,1,1
k,,,,,,,,,,0,3
t,,,,,,,,,,1,0
m,,,,,,,,,,1,0
b,,,,,,,,,,1,0
g,,,,,,,,,,,2
c,,,,,,,,,,,1
c,,,,,,,,,,,1
