"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","b",0,11,5,7,2,1,1,0,0,0,1,281,237,110,270,259,248,287,285,288.2,300.5,187
"2","d",0,6,6,6,6,3,1,0,0,0,0,251,227,60,245,239,233,263,263,242.7,259,153
"3","g",0,7,8,5,3,0,2,1,1,0,1,249,221,70,242,235,228,263,266,256.8,264,160
"4","m",0,3,7,6,4,3,0,2,1,2,0,214,202,30,211,208,205,231,232,207.8,217,124
"5","e",0,0,2,3,3,7,3,1,1,4,0,135,135,0,135,135,135,142,141,115,119,45
"6","r",0,0,0,0,3,7,3,5,6,1,2,120,120,0,120,120,120,120,120,103.6,94,16
"7","l",0,0,0,1,1,0,8,3,6,1,1,88,88,0,88,88,88,89,88,80.8,68.5,8
"8","s",0,0,0,0,2,1,6,2,2,7,3,81,81,0,81,81,81,81,81,71.5,59.5,7
"9","t",0,0,0,0,2,4,1,2,3,3,6,72,72,0,72,72,72,72,72,62.5,54,10
"10","c",0,0,0,0,2,1,1,5,2,2,3,58,58,0,58,58,58,58,58,52.2,43.5,7
"11","r",0,1,0,0,0,0,1,1,2,0,2,31,27,10,30,29,28,30,30,32.6,27.5,10
"12","b",0,0,0,0,0,0,0,3,1,2,2,21,21,0,21,21,21,21,21,21.2,14,0
"13","m",0,0,0,0,0,1,0,0,1,1,3,14,14,0,14,14,14,14,14,13,9.5,1
"14","d",0,0,0,0,0,0,1,1,1,0,0,12,12,0,12,12,12,12,12,11.6,9,0
"15","j",0,0,0,0,0,0,0,1,0,0,1,5,5,0,5,5,5,5,5,4.9,3.5,0
"16","c",0,0,0,0,0,0,0,1,0,0,0,4,4,0,4,4,4,4,4,3.9,3,0
"17","a",0,0,0,0,0,0,0,0,0,2,0,4,4,0,4,4,4,4,4,4,2,0
"18","c",0,0,0,0,0,0,0,0,1,0,0,3,3,0,3,3,3,3,3,3.5,2,0
"19","v",0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
"20","f",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"21","p",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"22","j",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
"23","t",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
