Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
k,,28,0,0,0,,0,0,0,0,0
t,,,24,2,4,3,0,0,0,0,0
f,,,3,10,2,4,1,3,1,3,1
r,,,0,8,3,3,3,1,1,1,1
d,,,0,2,3,3,4,2,1,1,2
j,,,,1,5,2,3,4,0,1,1
t,,,1,1,2,3,2,3,2,2,3
n,,,,0,2,2,5,2,7,1,1
j,,,,0,3,2,4,1,1,1,4
r,,,,1,1,2,2,1,3,3,0
r,,,,1,2,1,0,2,1,1,1
p,,,,,0,2,1,2,2,3,0
r,,,,,2,1,1,1,1,0,4
e,,,,,0,2,0,0,1,3,1
s,,,,,2,0,0,0,2,1,0
i,,,,,1,0,0,1,1,1,0
b,,,,,,1,0,1,1,0,1
t,,,,,,,0,1,0,4,1
j,,,,,,,1,1,1,0,0
d,,,,,,,0,0,1,1,0
a,,,,,,,1,0,0,0,0
r,,,,,,,,1,0,0,0
r,,,,,,,,1,0,0,0
d,,,,,,,,,1,0,0
m,,,,,,,,,,1,0
b,,,,,,,,,,,2
d,,,,,,,,,,,2
m,,,,,,,,,,,2
j,,,,,,,,,,,1
