Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
f,,28,0,,,,,,,0,0
p,,,13,5,3,1,4,,1,1,0
j,,,4,11,4,4,3,1,1,0,0
j,,,4,4,10,4,3,1,1,0,1
k,,,4,5,7,7,2,1,0,0,1
r,,,3,2,1,1,2,5,3,2,3
a,,,,,1,4,3,3,4,5,1
r,,,,,0,1,3,4,3,2,2
j,,,,,1,2,3,1,3,1,2
c,,,,1,0,1,2,2,2,5,2
j,,,,,1,2,,1,2,0,0
j,,,,,,1,1,3,0,0,2
m,,,,,,,,1,1,3,2
j,,,,,,,,1,3,1,0
k,,,,,,,,1,0,2,3
t,,,,,,,,0,1,2,3
c,,,,,,,,1,0,2,2
m,,,,,,,,1,1,0,1
d,,,,,,,1,0,0,1,0
c,,,,,,,1,0,0,1,0
a,,,,,,,,1,0,,0
d,,,,,,,,,1,,0
g,,,,,,,,,1,,0
k,,,,,,,,,,,1
c,,,,,,,,,,,1
r,,,,,,,,,,,1
