,ï..Player,X,X1st,X2nd,X3rd,X4th,X5th,X6th,X7th,X8th,X9th,X10th,Total,bbwaa_totals,consistent_totals,only_10_totals,gap_13_totals,gap_12_totals,gap_11_totals,gap_13_11_9_7totals,gap_13_12_8totals,benoit_1_totals,benoit_2_totals,benoit_4_totals
1,"Mike Trout, Angels",0,30,0,0,0,0,0,0,0,0,0,420,420,300,300,390,360,330,390,390,465,465,300
2,"Victor Martinez, Tigers",0,0,16,4,3,3,2,1,0,0,0,229,229,229,0,229,229,229,265,277,234.8,244,144
3,"Michael Brantley, Indians",0,0,8,6,5,4,1,1,0,1,1,191,191,191,0,191,191,191,213,215,177.1,190.5,105
4,"Jose Abreu, White Sox",0,0,1,6,3,1,6,5,2,2,1,145,145,145,0,145,145,145,153,148,125.7,127,47
6,"Jose Bautista, Blue Jays",0,0,1,1,3,8,4,1,5,3,0,131!,131,131,0,131,131,131,134,134,112.2,108.5,29
5,"Robinson Cano, Mariners",0,0,1,1,6,5,2,4,2,1,1,124,124,124,0,124,124,124,127,127,103.5,105,35
7,"Nelson Cruz, Orioles",0,0,0,6,3,2,2,2,0,1,1,102,102,102,0,102,102,102,108,102,82.2,91.5,41
8,"Josh Donaldson, Athletics",0,0,1,2,2,0,3,3,6,5,2,96,96,96,0,96,96,96,100,99,90.8,77.5,23
9,"Miguel Cabrera, Tigers",0,0,1,2,2,2,2,1,0,6,5,82,82,82,0,82,82,82,86,85,71.8,68,25
10,"Felix Hernandez, Mariners",0,0,2,1,1,0,1,1,1,1,1,48,48,48,0,48,48,48,53,54,47.1,45.5,22
11,"Corey Kluber, Indians",0,0,0,1,1,2,0,3,0,2,2,45,45,45,0,45,45,45,46,45,38.2,36,10
12,"Alex Gordon, Royals",0,0,0,0,1,1,2,2,3,1,2,44,44,44,0,44,44,44,44,44,40.2,33,4
13,"Jose Altuve, Astros",0,0,0,0,0,0,1,3,3,3,9,41,41,41,0,41,41,41,41,41,41.4,26.5,0
14,"Adam Jones, Orioles",0,0,0,0,0,1,3,1,1,2,2,34,34,34,0,34,34,34,34,34,30.5,25,1
15,"Adrian Beltre, Rangers",0,0,0,0,0,0,0,1,5,1,1,22,22,22,0,22,22,22,22,22,24.4,14.5,0
16,"Greg Holland, Royals",0,0,0,0,0,1,1,0,0,1,0,13,13,13,0,13,13,13,13,13,10.7,10,1
17,"Albert Pujols, Angels",0,0,0,0,0,0,0,1,0,0,1,5,5,5,0,5,5,5,5,5,4.9,3.5,0
18,"Howie Kendrick, Angels",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
19,"James Shields, Royals",0,0,0,0,0,0,0,0,1,0,0,3,3,3,0,3,3,3,3,3,3.5,2,0
20,"Kyle Seager, Mariners",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0.5,0
