"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","d",0,15,5,1,5,0,1,0,1,0,0,306,246,150,291,276,261,302,306,324.2,329,205
"2","k",0,3,4,8,3,2,5,1,1,1,0,209,197,30,206,203,200,222,218,194.9,206.5,109
"3","j",0,4,6,3,3,3,2,3,2,0,0,201,185,40,197,193,189,212,215,200.1,203,109
"4","m",0,1,0,5,4,3,4,5,4,1,1,155,151,10,154,153,152,159,154,134.8,135,50
"5","d",0,2,5,2,4,0,3,0,1,1,4,141,133,20,139,137,135,151,154,138.6,140.5,77
"6","r",0,3,4,1,3,1,0,0,1,0,2,118,106,30,115,112,109,124,127,120,122.5,73
"7","m",0,0,1,3,3,2,2,5,3,1,2,109,109,0,109,109,109,114,112,96.4,93.5,33
"8","f",0,0,0,1,3,7,2,4,2,2,1,108,108,0,108,108,108,109,108,89,87.5,21
"9","c",0,0,2,1,0,2,4,0,5,5,0,83,83,0,83,83,83,88,89,80.8,70,21
"10","p",0,0,0,1,0,4,1,2,3,4,1,63,63,0,63,63,63,64,63,56,48.5,9
"11","c",0,0,0,0,0,0,1,2,2,3,6,31,31,0,31,31,31,31,31,31,20,0
"12","e",0,0,0,0,0,2,1,1,1,2,1,29,29,0,29,29,29,29,29,25.6,21.5,2
"13","j",0,0,0,0,0,1,0,2,0,1,2,18,18,0,18,18,18,18,18,16.3,13,1
"14","r",0,0,0,1,0,0,0,1,0,2,0,16,16,0,16,16,16,17,16,14.4,13,5
"15","b",0,0,0,0,0,0,0,1,2,3,0,16,16,0,16,16,16,16,16,16.9,10,0
"16","j",0,0,1,0,0,0,0,1,0,0,2,15,15,0,15,15,15,17,18,16.4,14.5,7
"17","k",0,0,0,1,0,0,1,0,0,0,0,13,13,0,13,13,13,14,13,10.7,12,5
"18","p",0,0,0,0,0,1,0,0,0,0,2,8,8,0,8,8,8,8,8,6.5,6,1
"19","j",0,0,0,0,0,0,1,0,0,0,0,5,5,0,5,5,5,5,5,4.2,4,0
"20","g",0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
"21","m",0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,2,2,2,2,2,1,0
"22","m",0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,2,2,2,2,1,0
"23","a",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
