Player,,2nd,3rd,4th,5th,6th,7th,8th,9th,10th,Total
j,,11,7,5,3,2,0,0,0,0,0
a,,10,10,4,3,0,0,1,0,0,0
a,,2,8,10,4,2,1,0,1,0,0
k,,4,1,2,5,6,3,1,5,1,0
m,,,1,3,2,5,5,4,4,1,2
r,,,,2,5,4,2,3,0,3,1
m,,,,2,4,1,4,2,3,5,3
f,,,,,0,4,5,7,2,2,1
b,,,,,0,0,3,3,2,9,2
i,,1,,,0,1,2,3,1,2,3
k,,,,,1,2,2,0,1,1,0
m,,,1,,0,1,1,1,1,0,0
p,,,,,1,,,0,1,2,5
a,,,,,,,,1,2,0,1
j,,,,,,,,1,1,0,2
c,,,,,,,,0,0,2,4
j,,,,,,,,0,2,,0
b,,,,,,,,0,2,,0
j,,,,,,,,1,,,0
r,,,,,,,,,,,3
t,,,,,,,,,,,1
