"","ï..Player","X","X2nd","X3rd","X4th","X5th","X6th","X7th","X8th","X9th","X10th","Total","bbwaa_totals","consistent_totals","only_10_totals","gap_13_totals","gap_12_totals","gap_11_totals","gap_13_11_9_7totals","gap_13_12_8totals","benoit_1_totals","benoit_2_totals","benoit_4_totals"
"1","c",0,15,8,4,0,0,0,1,0,0,0,318,258,150,303,288,273,323,327,346.4,351.5,226
"2","c",0,9,12,6,0,0,0,1,0,0,0,286,250,90,277,268,259,307,313,308.4,316.5,204
"3","f",0,1,4,5,5,4,4,1,2,0,2,181,177,10,180,179,178,193,192,162.7,171.5,82
"4","j",0,0,0,3,8,5,3,3,1,2,1,145,145,0,145,145,145,148,145,114.8,122.5,44
"5","j",0,1,2,2,2,2,4,6,3,4,1,136,132,10,135,134,133,141,141,128.2,119,42
"6","r",0,2,2,3,1,6,1,1,0,3,0,128,120,20,126,124,122,133,132,117.6,122,58
"7","k",0,0,0,2,3,2,2,2,3,1,0,78,78,0,78,78,78,80,78,65.7,65,21
"8","r",0,0,0,0,3,1,2,3,3,2,1,63,63,0,63,63,63,63,63,55.1,48.5,10
"9","k",0,0,0,1,1,1,2,1,5,3,6,62,62,0,62,62,62,63,62,57.8,46,9
"10","r",0,0,0,1,2,1,4,1,1,1,0,57,57,0,57,57,57,58,57,47.2,47,12
"11","p",0,0,0,0,2,2,1,2,1,3,3,51,51,0,51,51,51,51,51,43.5,38.5,8
"12","d",0,0,0,0,0,2,0,1,2,3,4,32,32,0,32,32,32,32,32,29.9,22,2
"13","j",0,0,0,0,0,0,3,3,0,0,2,29,29,0,29,29,29,29,29,26.3,22,0
"14","c",0,0,0,0,1,0,0,0,4,1,0,21,21,0,21,21,21,21,21,21,15,3
"15","j",0,0,0,0,0,1,0,1,1,1,2,17,17,0,17,17,17,17,17,15.9,12,1
"16","d",0,0,0,0,0,0,1,0,1,2,3,15,15,0,15,15,15,15,15,14.7,9.5,0
"17","s",0,0,0,1,0,0,0,1,0,0,0,12,12,0,12,12,12,13,12,10.4,11,5
"18","r",0,0,0,0,0,1,1,0,0,0,0,11,11,0,11,11,11,11,11,8.7,9,1
"19","r",0,0,0,0,0,0,0,0,1,1,1,6,6,0,6,6,6,6,6,6.5,3.5,0
"20","r",0,0,0,0,0,0,0,0,0,1,1,3,3,0,3,3,3,3,3,3,1.5,0
"21","d",0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0.5,0
